RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,35450,Patrick Cantlay,71.43%,40,56
2,0,22764,Michael Block,62.50%,35,56
2,0,54628,Lee Hodges,62.50%,35,56
4,15,46046,Scottie Scheffler,58.93%,33,56
4,0,49960,Sepp Straka,58.93%,33,56
6,0,36689,Brooks Koepka,57.14%,32,56
6,63,32839,Hideki Matsuyama,57.14%,32,56
6,0,33674,Adrian Meronk,57.14%,32,56
9,0,33141,Keegan Bradley,55.36%,31,56
9,0,47959,Bryson DeChambeau,55.36%,31,56
9,0,50525,Collin Morikawa,55.36%,31,56
9,18,36871,Matt NeSmith,55.36%,31,56
9,0,47679,Victor Perez,55.36%,31,56
9,0,46970,Jon Rahm,55.36%,31,56
15,0,46717,Viktor Hovland,53.57%,30,56
15,0,24024,Zach Johnson,53.57%,30,56
15,0,30926,Chris Kirk,53.57%,30,56
18,0,55708,Hayden Buckley,51.79%,29,56
18,0,45157,Cam Davis,51.79%,29,56
18,0,33653,Thomas Detry,51.79%,29,56
18,0,30911,Tommy Fleetwood,51.79%,29,56
18,-17,33399,Adam Hadwin,51.79%,29,56
18,0,36801,Mark Hubbard,51.79%,29,56
18,0,33204,Shane Lowry,51.79%,29,56
18,0,47529,Mito Pereira,51.79%,29,56
18,0,46340,Alex Smalley,51.79%,29,56
18,0,34046,Jordan Spieth,51.79%,29,56
28,-21,36799,Stephan Jaeger,50.00%,28,56
28,0,49771,J.T. Poston,50.00%,28,56
28,0,26476,Chez Reavie,50.00%,28,56
28,0,50493,Justin Suh,50.00%,28,56
28,0,48887,Matt Wallace,50.00%,28,56
33,0,35778,Kazuki Higa,48.21%,27,56
33,0,52453,Nicolai Hojgaard,48.21%,27,56
33,0,30925,Dustin Johnson,48.21%,27,56
33,0,48051,Yannik Paul,48.21%,27,56
33,10,55893,Sam Stevens,48.21%,27,56
33,0,40115,Adam Svensson,48.21%,27,56
39,25,47591,Eric Cole,46.43%,26,56
39,0,34076,Joel Dahmen,46.43%,26,56
39,0,39977,Max Homa,46.43%,26,56
39,-5,32791,K.H. Lee,46.43%,26,56
39,0,47993,Denny McCarthy,46.43%,26,56
39,0,48081,Xander Schauffele,46.43%,26,56
39,37,24502,Adam Scott,46.43%,26,56
46,0,39997,Corey Conners,44.64%,25,56
46,0,20766,Padraig Harrington,44.64%,25,56
46,-12,34363,Tyrrell Hatton,44.64%,25,56
46,0,47056,Rikuya Hoshino,44.64%,25,56
46,0,48117,Kurt Kitayama,44.64%,25,56
46,0,45523,Thriston Lawrence,44.64%,25,56
46,0,49947,Taylor Moore,44.64%,25,56
46,0,36699,Patrick Rodgers,44.64%,25,56
54,0,29725,Tony Finau,42.86%,24,56
54,0,01810,Phil Mickelson,42.86%,24,56
54,0,39546,Keith Mitchell,42.86%,24,56
57,0,29936,Ryan Fox,41.07%,23,56
57,-38,35532,Tom Hoge,41.07%,23,56
57,0,28237,Rory McIlroy,41.07%,23,56
57,7,55789,Taylor Montgomery,41.07%,23,56
57,0,40250,Taylor Pendrith,41.07%,23,56
57,0,34360,Patrick Reed,41.07%,23,56
57,0,48699,Callum Tarren,41.07%,23,56
57,0,33448,Justin Thomas,41.07%,23,56
65,0,32369,Sihwan Kim,39.29%,22,56
65,0,33293,Thomas Pieters,39.29%,22,56
65,0,35891,Cameron Smith,39.29%,22,56
65,0,51634,Sahith Theegala,39.29%,22,56
65,0,37189,Harold Varner III,39.29%,22,56
70,0,48119,Ben Taylor,37.50%,21,56
71,0,39058,Lucas Herbert,35.71%,20,56
71,0,37378,Min Woo Lee,35.71%,20,56
73,0,35461,Beau Hossler,33.93%,19,56
74,0,33974,Dean Burmester,32.14%,18,56
74,0,29670,Pablo Larrazabal,32.14%,18,56
74,0,22405,Justin Rose,32.14%,18,56