RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3 PUTTS,TOTAL ROUNDS
1,0,48699,Callum Tarren,.81,42,52
2,0,55454,Carl Yuan,.77,37,48
3,0,32070,Rafael Campos,.76,35,46
3,0,51070,Vincent Norrman,.76,37,49
5,0,38991,Alejandro Tosti,.74,39,53
6,0,35310,Lanto Griffin,.73,38,52
7,0,27649,Brandt Snedeker,.72,36,50
7,0,48319,Tom Whitney,.72,36,50
9,0,34587,Chan Kim,.71,47,66
10,0,37212,Paul Barjon,.70,28,40
10,0,34255,Joseph Bramlett,.70,42,60
10,0,45242,Kevin Yu,.70,40,57
13,0,48887,Matt Wallace,.68,41,60
14,0,51696,Rico Hoey,.67,40,60
15,0,36326,David Lipsky,.66,35,53
16,0,32367,Jorge Campillo,.65,34,52
16,0,31323,Gary Woodland,.65,43,66
16,0,52513,Carson Young,.65,39,60
19,0,28775,Nate Lashley,.64,32,50
20,0,32757,Patton Kizzire,.63,29,46
20,0,48867,Matti Schmid,.63,38,60
22,0,47988,Nick Hardy,.62,43,69
22,0,39546,Keith Mitchell,.62,43,69
22,0,50484,Hayden Springer,.62,32,52
25,0,28420,Ryan Brehm,.61,28,46
26,0,26596,Ryan Moore,.60,35,58
26,0,51890,Greyson Sigg,.60,36,60
26,0,52666,Sami Valimaki,.60,29,48
26,0,57366,Cameron Young,.60,49,81
30,0,34076,Joel Dahmen,.59,40,68
31,0,47983,Chad Ramey,.58,35,60
31,0,37275,Sam Ryder,.58,33,57
33,0,36884,Ben Kohles,.57,37,65
33,0,47347,Adam Schenk,.57,43,76
35,0,47663,Kevin Dougherty,.56,27,48
35,0,59866,Nick Dunlap,.56,35,63
35,0,52453,Nicolai Højgaard,.56,32,57
35,0,46340,Alex Smalley,.56,29,52
35,0,27064,Jhonattan Vegas,.56,30,54
40,0,24024,Zach Johnson,.55,24,44
40,0,47483,Will Zalatoris,.55,34,62
42,0,55708,Hayden Buckley,.54,31,57
42,0,60067,Joe Highsmith,.54,27,50
42,0,48153,Matthieu Pavon,.54,34,63
42,0,33486,Roger Sloan,.54,27,50
42,0,50493,Justin Suh,.54,30,56
42,0,40006,Erik van Rooyen,.54,36,67
42,0,52374,Brandon Wu,.54,33,61
49,0,27129,Luke List,.53,30,57
49,0,46441,Robby Shelton,.53,31,58
51,0,40026,Daniel Berger,.52,27,52
51,0,47420,Jake Knapp,.52,37,71
51,0,32791,K.H. Lee,.52,29,56
51,0,40162,Justin Lower,.52,39,75
51,0,32640,Troy Merritt,.52,31,60
51,0,40115,Adam Svensson,.52,45,87
57,0,33408,Tyson Alexander,.51,28,55
57,0,33948,Byeong Hun An,.51,38,75
57,0,29725,Tony Finau,.51,40,79
57,0,59095,Chris Gotterup,.51,31,61
57,0,36799,Stephan Jaeger,.51,35,69
57,0,55182,Tom Kim,.51,39,77
63,0,51287,Ryo Hisatsune,.50,33,66
63,0,12716,Charley Hoffman,.50,28,56
63,0,27936,Martin Laird,.50,26,52
63,0,32839,Hideki Matsuyama,.50,35,70
63,0,46113,Ryan McCormick,.50,23,46
63,0,30163,Henrik Norlander,.50,22,44
69,0,51634,Sahith Theegala,.49,44,89
70,0,34374,Erik Barnes,.48,20,42
70,0,52372,Cameron Champ,.48,21,44
70,0,51349,Nico Echavarria,.48,31,64
70,0,54576,Patrick Fishburn,.48,23,48
70,0,39975,Michael Kim,.48,29,61
70,0,36871,Matt NeSmith,.48,28,58
70,0,33968,Thorbjørn Olesen,.48,23,48
70,0,47995,Davis Riley,.48,29,61
70,0,25493,Nick Taylor,.48,33,69
79,0,39997,Corey Conners,.47,41,87
79,0,39977,Max Homa,.47,35,75
79,0,30927,Brendon Todd,.47,41,87
79,0,54783,Dylan Wu,.47,29,62
83,0,30926,Chris Kirk,.46,33,71
83,0,33204,Shane Lowry,.46,32,70
83,0,55893,Sam Stevens,.46,34,74
86,0,60004,Jacob Bridgeman,.45,25,56
86,0,52514,Trace Crowe,.45,21,47
86,0,51977,Max Greyserman,.45,31,69
86,0,59143,Mac Meissner,.45,27,60
86,0,49771,J.T. Poston,.45,35,77
86,0,28252,Seamus Power,.45,35,77
92,0,40098,Matt Fitzpatrick,.44,31,71
92,0,34563,Chesson Hadley,.44,23,52
92,0,57975,Harry Hall,.44,28,64
92,0,35532,Tom Hoge,.44,40,91
96,0,45157,Cam Davis,.43,32,75
96,0,50497,Adrien Dumont de Chassart,.43,24,56
96,0,32102,Rickie Fowler,.43,28,65
96,0,54591,Ben Griffin,.43,37,86
96,0,48117,Kurt Kitayama,.43,29,67
96,0,27349,Alex Noren,.43,30,69
96,0,22405,Justin Rose,.43,26,61
96,0,27214,Kevin Streelman,.43,22,51
96,0,58168,Davis Thompson,.43,35,82
105,0,40058,Zac Blair,.42,25,60
105,0,29936,Ryan Fox,.42,26,62
105,0,33399,Adam Hadwin,.42,31,73
105,0,35461,Beau Hossler,.42,27,65
105,0,36801,Mark Hubbard,.42,32,77
105,0,34466,Peter Malnati,.42,27,65
105,0,28237,Rory McIlroy,.42,29,69
105,0,26476,Chez Reavie,.42,22,52
113,0,52955,Ludvig Åberg,.41,29,71
113,0,34099,Harris English,.41,31,75
113,0,54628,Lee Hodges,.41,30,73
113,0,29420,Billy Horschel,.41,31,76
113,0,27139,David Skinns,.41,24,58
113,0,39324,J.J. Spaun,.41,25,61
113,0,32333,Kevin Tway,.41,18,44
120,0,59442,Parker Coody,.40,22,55
120,0,52375,Doug Ghim,.40,26,65
120,0,25900,Lucas Glover,.40,29,73
120,0,39971,Sungjae Im,.40,33,83
120,0,37455,Si Woo Kim,.40,33,83
120,0,29908,C.T. Pan,.40,19,47
120,0,57900,Chandler Phillips,.40,25,63
120,0,36699,Patrick Rodgers,.40,31,78
128,0,46717,Viktor Hovland,.39,22,57
128,0,34256,Andrew Putnam,.39,26,67
130,0,56630,Akshay Bhatia,.38,33,86
130,0,47591,Eric Cole,.38,35,93
130,0,45609,Tyler Duncan,.38,20,52
130,0,50188,S.H. Kim,.38,31,81
130,0,46414,Aaron Rai,.38,33,86
130,0,33448,Justin Thomas,.38,24,63
130,0,51894,Vince Whaley,.38,18,48
137,0,33141,Keegan Bradley,.37,29,79
137,0,35450,Patrick Cantlay,.37,24,65
137,0,51766,Wyndham Clark,.37,25,67
137,0,59836,Pierceson Coody,.37,23,62
137,0,33653,Thomas Detry,.37,25,67
137,0,30911,Tommy Fleetwood,.37,26,71
137,0,49947,Taylor Moore,.37,30,81
144,0,28089,Jason Day,.36,25,69
144,0,40250,Taylor Pendrith,.36,26,72
144,0,39327,Ben Silverman,.36,25,70
144,0,34046,Jordan Spieth,.36,25,70
144,0,49960,Sepp Straka,.36,27,75
149,0,57362,Austin Eckroat,.35,27,78
149,0,48119,Ben Taylor,.35,16,46
151,0,47993,Denny McCarthy,.34,28,83
151,0,46046,Scottie Scheffler,.34,24,71
151,0,24502,Adam Scott,.34,24,71
154,0,27644,Brian Harman,.33,27,83
155,0,47504,Sam Burns,.32,23,73
155,0,31646,Emiliano Grillo,.32,26,81
155,0,37378,Min Woo Lee,.32,20,62
158,0,54421,Garrick Higgo,.31,18,59
158,0,52215,Robert MacIntyre,.31,22,72
158,0,51997,Andrew Novak,.31,20,64
161,0,22371,Aaron Baddeley,.30,17,57
161,0,23108,Matt Kuchar,.30,17,57
161,0,46442,Maverick McNealy,.30,22,73
164,0,35506,Mackenzie Hughes,.28,23,83
165,0,45522,Christiaan Bezuidenhout,.24,18,76
165,0,50525,Collin Morikawa,.24,18,75
165,0,47679,Victor Perez,.24,16,68
168,0,34098,Russell Henley,.18,13,73
169,0,48081,Xander Schauffele,.16,12,75