RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,46046,Scottie Scheffler,68.01,5101,75
2,0,48081,Xander Schauffele,68.51,5412,79
3,0,39546,Keith Mitchell,69.01,4762,69
4,0,27064,Jhonattan Vegas,69.26,3671,53
5,0,46442,Maverick McNealy,69.28,5127,74
6,-1,46414,Aaron Rai,69.29,6167,89
7,0,34587,Chan Kim,69.30,4574,66
8,1,54591,Ben Griffin,69.31,6238,90
9,1,51997,Andrew Novak,69.34,4646,67
10,11,50525,Collin Morikawa,69.35,5201,75
11,0,60004,Jacob Bridgeman,69.38,4024,58
12,1,52215,Robert MacIntyre,69.39,5204,75
13,-1,27349,Alex Noren,69.41,5067,73
14,-1,51977,Max Greyserman,69.42,5068,73
14,-1,39327,Ben Silverman,69.42,4790,69
16,0,58168,Davis Thompson,69.44,5972,86
17,0,52955,Ludvig Åberg,69.45,4931,71
18,0,29420,Billy Horschel,69.49,5490,79
19,5,51766,Wyndham Clark,69.51,4796,69
20,-1,52375,Doug Ghim,69.52,4449,64
21,-1,59143,Mac Meissner,69.54,4242,61
22,4,47504,Sam Burns,69.56,5356,77
22,-1,48887,Matt Wallace,69.56,4382,63
24,-1,57975,Harry Hall,69.60,4663,67
25,7,39971,Sungjae Im,69.61,6056,87
26,-2,55893,Sam Stevens,69.62,5152,74
27,2,32839,Hideki Matsuyama,69.63,4874,70
27,-1,57900,Chandler Phillips,69.63,4387,63
27,11,24502,Adam Scott,69.63,4944,71
30,6,40250,Taylor Pendrith,69.65,5224,75
31,-3,40006,Erik van Rooyen,69.66,4946,71
32,-1,36801,Mark Hubbard,69.71,5507,79
33,-3,29725,Tony Finau,69.72,5787,83
34,0,52514,Trace Crowe,69.73,3347,48
34,0,35461,Beau Hossler,69.73,4672,67
36,9,28237,Rory McIlroy,69.74,4812,69
37,-1,37455,Si Woo Kim,69.76,6069,87
38,20,34098,Russell Henley,69.78,5094,73
39,-7,35532,Tom Hoge,69.81,6353,91
40,0,39997,Corey Conners,69.82,5795,83
40,0,52513,Carson Young,69.82,4329,62
42,0,39975,Michael Kim,69.83,4399,63
42,0,32791,K.H. Lee,69.83,4050,58
44,0,47679,Victor Perez,69.84,4749,68
45,0,54576,Patrick Fishburn,69.85,3283,47
45,0,51696,Rico Hoey,69.85,4121,59
45,29,51634,Sahith Theegala,69.85,5937,85
48,3,35450,Patrick Cantlay,69.86,4820,69
49,-1,24024,Zach Johnson,69.88,3354,48
49,-1,40162,Justin Lower,69.88,5241,75
49,-1,27139,David Skinns,69.88,3983,57
49,21,33448,Justin Thomas,69.88,4682,67
53,-15,45522,Christiaan Bezuidenhout,69.89,5591,80
53,-2,45242,Kevin Yu,69.89,4263,61
55,-2,35506,Mackenzie Hughes,69.90,5522,79
56,-2,50484,Hayden Springer,69.91,3705,53
57,-2,32367,Jorge Campillo,69.92,3636,52
57,8,30911,Tommy Fleetwood,69.92,4964,71
59,-3,56630,Akshay Bhatia,69.94,6225,89
60,-3,28089,Jason Day,69.95,5106,73
61,-3,32757,Patton Kizzire,69.96,3148,45
61,-3,28252,Seamus Power,69.96,5387,77
61,-3,36699,Patrick Rodgers,69.96,5177,74
61,-3,39324,J.J. Spaun,69.96,3988,57
65,-2,51287,Ryo Hisatsune,69.97,4898,70
66,-2,54783,Dylan Wu,69.98,4409,63
67,-2,33653,Thomas Detry,69.99,4899,70
68,-1,35310,Lanto Griffin,70.00,3640,52
68,-1,48117,Kurt Kitayama,70.00,4690,67
70,1,33948,Byeong Hun An,70.01,5251,75
70,-1,27644,Brian Harman,70.01,5811,83
72,13,33204,Shane Lowry,70.03,5112,73
73,20,46717,Viktor Hovland,70.04,3992,57
73,-2,47993,Denny McCarthy,70.04,5813,83
73,-2,34256,Andrew Putnam,70.04,4693,67
76,-2,34255,Joseph Bramlett,70.05,4273,61
76,-2,59836,Pierceson Coody,70.05,4273,61
76,-2,12716,Charley Hoffman,70.05,3853,55
79,-1,51349,Nico Echavarria,70.08,4625,66
79,-1,28775,Nate Lashley,70.08,3574,51
81,-1,55182,Tom Kim,70.10,5608,80
81,-1,32640,Troy Merritt,70.10,4276,61
83,-1,40026,Daniel Berger,70.11,3786,54
84,-1,34563,Chesson Hadley,70.12,3646,52
85,-1,59095,Chris Gotterup,70.13,4348,62
86,0,29908,C.T. Pan,70.17,3228,46
87,0,37378,Min Woo Lee,70.18,4351,62
87,0,51894,Vince Whaley,70.18,3509,50
89,0,34076,Joel Dahmen,70.19,4703,67
90,0,36871,Matt NeSmith,70.20,4212,60
90,0,48867,Matti Schmid,70.20,4142,59
90,0,33486,Roger Sloan,70.20,3440,49
93,1,49771,J.T. Poston,70.22,5688,81
94,1,51890,Greyson Sigg,70.23,4214,60
95,1,30927,Brendon Todd,70.25,5831,83
96,1,40058,Zac Blair,70.27,4216,60
96,1,59442,Parker Coody,70.27,3935,56
96,1,50188,S.H. Kim,70.27,5762,82
96,1,47983,Chad Ramey,70.27,4146,59
96,1,37275,Sam Ryder,70.27,4146,59
101,1,33141,Keegan Bradley,70.29,5553,79
101,3,52372,Cameron Champ,70.29,3163,45
101,3,36799,Stephan Jaeger,70.29,5131,73
104,2,26476,Chez Reavie,70.31,3656,52
105,2,22371,Aaron Baddeley,70.32,3938,56
106,3,30926,Chris Kirk,70.33,5275,75
106,2,27936,Martin Laird,70.33,3587,51
108,1,36884,Ben Kohles,70.34,4572,65
108,1,34046,Jordan Spieth,70.34,4924,70
110,2,33399,Adam Hadwin,70.35,5417,77
111,2,45609,Tyler Duncan,70.37,3800,54
111,2,34099,Harris English,70.37,5137,73
111,2,40098,Matt Fitzpatrick,70.37,4996,71
111,2,26596,Ryan Moore,70.37,4152,59
111,2,46441,Robby Shelton,70.37,4152,59
111,2,46340,Alex Smalley,70.37,3800,54
111,2,52666,Sami Valimaki,70.37,3589,51
118,2,47591,Eric Cole,70.40,6688,95
118,2,47663,Kevin Dougherty,70.40,3309,47
118,2,60067,Joe Highsmith,70.40,3520,50
121,2,40115,Adam Svensson,70.41,5844,83
122,2,57366,Cameron Young,70.42,5704,81
123,2,47988,Nick Hardy,70.45,4579,65
123,2,47995,Davis Riley,70.45,4509,64
125,2,27214,Kevin Streelman,70.46,3664,52
126,2,49960,Sepp Straka,70.49,5287,75
127,2,59866,Nick Dunlap,70.51,4724,67
127,2,50493,Justin Suh,70.51,3878,55
129,2,52374,Brandon Wu,70.52,4231,60
130,2,45157,Cam Davis,70.53,5501,78
131,2,57362,Austin Eckroat,70.54,5784,82
131,2,25900,Lucas Glover,70.54,4867,69
131,13,48153,Matthieu Pavon,70.54,4726,67
131,2,22405,Justin Rose,70.54,4303,61
135,1,49947,Taylor Moore,70.56,5715,81
135,1,25493,Nick Taylor,70.56,4939,70
135,1,47483,Will Zalatoris,70.56,4657,66
138,1,54421,Garrick Higgo,70.57,4093,58
139,2,33968,Thorbjørn Olesen,70.63,3390,48
140,2,31646,Emiliano Grillo,70.64,5722,81
140,2,23108,Matt Kuchar,70.64,3956,56
142,3,54628,Lee Hodges,70.68,5230,74
143,3,29936,Ryan Fox,70.69,4383,62
144,3,50497,Adrien Dumont de Chassart,70.74,4032,57
144,3,27129,Luke List,70.74,4032,57
146,3,47420,Jake Knapp,70.77,5237,74
146,3,47347,Adam Schenk,70.77,5449,77
148,3,55708,Hayden Buckley,70.78,4105,58
149,3,39977,Max Homa,70.88,5174,73
150,3,46113,Ryan McCormick,70.91,3333,47
151,3,34466,Peter Malnati,70.94,4824,68
152,3,38991,Alejandro Tosti,70.96,3832,54
153,3,55454,Carl Yuan,71.02,3480,49
154,3,36326,David Lipsky,71.10,3697,52
154,3,48319,Tom Whitney,71.10,3484,49
156,3,31323,Gary Woodland,71.14,4553,64
157,4,33408,Tyson Alexander,71.23,3989,56
157,4,52453,Nicolai Højgaard,71.23,4060,57
159,4,48699,Callum Tarren,71.36,3782,53
160,4,32102,Rickie Fowler,71.38,4854,68
161,4,48119,Ben Taylor,71.55,3363,47
162,4,51070,Vincent Norrman,71.73,3515,49
163,5,28420,Ryan Brehm,71.87,3378,47
164,5,27649,Brandt Snedeker,71.96,3526,49