TOURNAMENT_NAME,ROUND_DATE,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,COURSE_AVERAGE_SCORE,SCORE,TOTAL_SCORE
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Hideki Matsuyama,70,7243,68.95,65,263
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Hideki Matsuyama,70,7243,68.95,64,263
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Hideki Matsuyama,70,7243,68.95,64,263
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Hideki Matsuyama,70,7243,68.95,70,263
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Xander Schauffele,70,7243,68.95,66,265
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Xander Schauffele,70,7243,68.95,69,265
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Xander Schauffele,70,7243,68.95,67,265
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Xander Schauffele,70,7243,68.95,63,265
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Viktor Hovland,70,7243,68.95,70,265
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Viktor Hovland,70,7243,68.95,63,265
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Viktor Hovland,70,7243,68.95,66,265
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Viktor Hovland,70,7243,68.95,66,265
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Scottie Scheffler,70,7243,68.95,66,266
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Scottie Scheffler,70,7243,68.95,65,266
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Scottie Scheffler,70,7243,68.95,69,266
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Scottie Scheffler,70,7243,68.95,66,266
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Sam Burns,70,7243,68.95,67,267
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Sam Burns,70,7243,68.95,63,267
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Sam Burns,70,7243,68.95,70,267
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Sam Burns,70,7243,68.95,67,267
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Nick Dunlap,70,7243,68.95,67,267
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Nick Dunlap,70,7243,68.95,65,267
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Nick Dunlap,70,7243,68.95,66,267
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Nick Dunlap,70,7243,68.95,69,267
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Wyndham Clark,70,7243,68.95,68,268
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Wyndham Clark,70,7243,68.95,69,268
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Wyndham Clark,70,7243,68.95,67,268
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Wyndham Clark,70,7243,68.95,64,268
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Robert MacIntyre,70,7243,68.95,67,268
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Robert MacIntyre,70,7243,68.95,66,268
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Robert MacIntyre,70,7243,68.95,70,268
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Robert MacIntyre,70,7243,68.95,65,268
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Denny McCarthy,70,7243,68.95,66,269
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Denny McCarthy,70,7243,68.95,63,269
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Denny McCarthy,70,7243,68.95,72,269
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Denny McCarthy,70,7243,68.95,68,269
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Seamus Power,70,7243,68.95,67,270
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Seamus Power,70,7243,68.95,70,270
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Seamus Power,70,7243,68.95,66,270
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Seamus Power,70,7243,68.95,67,270
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Billy Horschel,70,7243,68.95,68,270
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Billy Horschel,70,7243,68.95,65,270
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Billy Horschel,70,7243,68.95,70,270
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Billy Horschel,70,7243,68.95,67,270
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Maverick McNealy,70,7243,68.95,70,271
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Maverick McNealy,70,7243,68.95,68,271
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Maverick McNealy,70,7243,68.95,69,271
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Maverick McNealy,70,7243,68.95,64,271
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Patrick Cantlay,70,7243,68.95,72,271
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Patrick Cantlay,70,7243,68.95,67,271
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Patrick Cantlay,70,7243,68.95,66,271
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Patrick Cantlay,70,7243,68.95,66,271
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Akshay Bhatia,70,7243,68.95,69,271
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Akshay Bhatia,70,7243,68.95,68,271
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Akshay Bhatia,70,7243,68.95,66,271
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Akshay Bhatia,70,7243,68.95,68,271
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Will Zalatoris,70,7243,68.95,69,271
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Will Zalatoris,70,7243,68.95,65,271
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Will Zalatoris,70,7243,68.95,67,271
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Will Zalatoris,70,7243,68.95,70,271
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Aaron Rai,70,7243,68.95,69,272
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Aaron Rai,70,7243,68.95,66,272
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Aaron Rai,70,7243,68.95,70,272
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Aaron Rai,70,7243,68.95,67,272
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Tony Finau,70,7243,68.95,69,272
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Tony Finau,70,7243,68.95,66,272
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Tony Finau,70,7243,68.95,68,272
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Tony Finau,70,7243,68.95,69,272
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Eric Cole,70,7243,68.95,71,273
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Eric Cole,70,7243,68.95,67,273
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Eric Cole,70,7243,68.95,72,273
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Eric Cole,70,7243,68.95,63,273
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Austin Eckroat,70,7243,68.95,69,273
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Austin Eckroat,70,7243,68.95,68,273
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Austin Eckroat,70,7243,68.95,71,273
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Austin Eckroat,70,7243,68.95,65,273
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Adam Scott,70,7243,68.95,70,273
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Adam Scott,70,7243,68.95,68,273
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Adam Scott,70,7243,68.95,68,273
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Adam Scott,70,7243,68.95,67,273
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Matt Fitzpatrick,70,7243,68.95,70,273
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Matt Fitzpatrick,70,7243,68.95,65,273
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Matt Fitzpatrick,70,7243,68.95,68,273
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Matt Fitzpatrick,70,7243,68.95,70,273
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Min Woo Lee,70,7243,68.95,70,274
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Min Woo Lee,70,7243,68.95,68,274
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Min Woo Lee,70,7243,68.95,70,274
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Min Woo Lee,70,7243,68.95,66,274
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Collin Morikawa,70,7243,68.95,68,274
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Collin Morikawa,70,7243,68.95,71,274
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Collin Morikawa,70,7243,68.95,68,274
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Collin Morikawa,70,7243,68.95,67,274
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Taylor Pendrith,70,7243,68.95,65,274
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Taylor Pendrith,70,7243,68.95,71,274
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Taylor Pendrith,70,7243,68.95,71,274
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Taylor Pendrith,70,7243,68.95,67,274
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Christiaan Bezuidenhout,70,7243,68.95,70,274
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Christiaan Bezuidenhout,70,7243,68.95,66,274
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Christiaan Bezuidenhout,70,7243,68.95,70,274
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Christiaan Bezuidenhout,70,7243,68.95,68,274
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Jason Day,70,7243,68.95,72,274
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Jason Day,70,7243,68.95,67,274
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Jason Day,70,7243,68.95,65,274
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Jason Day,70,7243,68.95,70,274
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Tommy Fleetwood,70,7243,68.95,66,274
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Tommy Fleetwood,70,7243,68.95,70,274
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Tommy Fleetwood,70,7243,68.95,68,274
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Tommy Fleetwood,70,7243,68.95,70,274
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Brendon Todd,70,7243,68.95,66,274
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Brendon Todd,70,7243,68.95,69,274
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Brendon Todd,70,7243,68.95,69,274
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Brendon Todd,70,7243,68.95,70,274
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Justin Rose,70,7243,68.95,66,274
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Justin Rose,70,7243,68.95,66,274
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Justin Rose,70,7243,68.95,71,274
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Justin Rose,70,7243,68.95,71,274
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Russell Henley,70,7243,68.95,68,275
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Russell Henley,70,7243,68.95,68,275
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Russell Henley,70,7243,68.95,73,275
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Russell Henley,70,7243,68.95,66,275
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Justin Thomas,70,7243,68.95,67,275
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Justin Thomas,70,7243,68.95,70,275
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Justin Thomas,70,7243,68.95,71,275
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Justin Thomas,70,7243,68.95,67,275
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Alex Noren,70,7243,68.95,73,275
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Alex Noren,70,7243,68.95,65,275
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Alex Noren,70,7243,68.95,67,275
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Alex Noren,70,7243,68.95,70,275
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Max Greyserman,70,7243,68.95,75,276
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Max Greyserman,70,7243,68.95,68,276
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Max Greyserman,70,7243,68.95,70,276
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Max Greyserman,70,7243,68.95,63,276
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Davis Thompson,70,7243,68.95,72,276
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Davis Thompson,70,7243,68.95,66,276
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Davis Thompson,70,7243,68.95,72,276
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Davis Thompson,70,7243,68.95,66,276
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Patrick Rodgers,70,7243,68.95,69,276
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Patrick Rodgers,70,7243,68.95,71,276
